entity_type,clinical_charting,formal_template,telegraphic_icu
clinical_status,0.12,,0.16
device,0.4338,0.8015,0.5147
dose,0.44,0.9,0.77
frequency,0.596,0.3434,0.5354
intake_output,0.1867,0.0667,0.2533
intervention,0.4615,0.2821,0.4359
medication_identity,0.04,0.05,0.09
notification,0.1212,0.0606,0.2121
route,0.42,0.84,0.58
symptom,0.38,0.39,0.39
vital_sign,0.838,0.266,0.814
