style_condition,device_error,frequency_error,hallucination,medication_identity_error,numeric_error,omission,route_error,severity_shift,substitution,unit_error
clinical_charting,0.0,0.0026,0.0874,0.0026,0.2159,0.6735,0.0013,0.0026,0.009,0.0051
formal_template,0.0026,0.0039,0.0656,0.0,0.4344,0.482,0.0026,0.0,0.0064,0.0026
telegraphic_icu,0.0035,0.0012,0.072,0.0,0.1742,0.7329,0.0035,0.0023,0.007,0.0035
