,n,rho,ci_low,ci_high
pooled,300.0,0.16369601632027647,0.04806343587148429,0.27183097956932534
formal_template,100.0,-0.022964008920628637,-0.23643386619174558,0.1837401008373763
clinical_charting,100.0,0.4070095152412866,0.20784892125165433,0.5726551291339004
telegraphic_icu,100.0,0.4166332068737717,0.22723270865856077,0.5755433396467082
