,concordant,discordant,tie,total,concordant_pct,discordant_pct,tie_pct
formal_template_vs_clinical_charting,49,47,4,100,0.49,0.47,0.04
formal_template_vs_telegraphic_icu,43,48,9,100,0.43,0.48,0.09
clinical_charting_vs_telegraphic_icu,60,32,8,100,0.6,0.32,0.08
